,id_siniestro,fecha_siniestro,modo_desplazamiento_victima,sexo_victima,edad_victima,año_victima,dia_victima,mes_victima
0,lc-2022-0132915,2022-03-20,auto,m,37,2022,Sunday,March
1,lc-2022-0054811,2022-02-06,auto,f,3,2022,Sunday,February
2,lc-2022-0166976,2022-04-04,auto,m,4,2022,Monday,April
3,lc-2023-0096195,2023-02-22,auto,m,5,2023,Wednesday,February
4,lc-2023-0096195,2023-02-22,auto,m,7,2023,Wednesday,February
5,lc-2019-0110666,2019-02-20,auto,f,9,2019,Wednesday,February
6,lc-2021-0631292,2021-12-19,auto,m,9,2021,Sunday,December
7,lc-2019-0110666,2019-02-20,auto,m,9,2019,Wednesday,February
8,lc-2021-0504586,2021-10-12,auto,f,11,2021,Tuesday,October
9,lc-2022-0054804,2022-02-06,auto,m,11,2022,Sunday,February
10,lc-2023-0229617,2023-04-26,auto,f,12,2023,Wednesday,April
11,lc-2021-0470015,2021-09-21,auto,f,13,2021,Tuesday,September
12,lc-2021-0569641,2021-11-14,auto,f,13,2021,Sunday,November
13,lc-2021-0470015,2021-09-21,auto,f,14,2021,Tuesday,September
14,lc-2019-0704458,2019-08-11,auto,m,15,2019,Sunday,August
15,lc-2021-0394519,2021-08-09,auto,m,17,2021,Monday,August
16,lc-2022-0494522,2022-09-19,auto,f,18,2022,Monday,September
17,lc-2021-0034628,2021-01-24,auto,m,18,2021,Sunday,January
18,lc-2023-0609410,2023-10-22,auto,m,18,2023,Sunday,October
19,lc-2022-0448848,2022-08-28,auto,m,18,2022,Sunday,August
20,lc-2022-0293367,2022-06-07,auto,f,19,2022,Tuesday,June
21,lc-2021-0008483,2021-01-07,auto,m,26,2021,Thursday,January
22,lc-2024-0361898,2024-06-24,auto,m,19,2024,Monday,June
23,lc-2022-0209661,2022-04-24,auto,f,20,2022,Sunday,April
24,lc-2022-0375454,2022-07-21,auto,f,20,2022,Thursday,July
25,lc-2022-0617689,2022-11-18,auto,m,20,2022,Friday,November
26,lc-2022-0145682,2022-03-26,auto,f,21,2022,Saturday,March
27,lc-2019-0310683,2019-05-18,auto,f,21,2019,Saturday,May
28,lc-2022-0025008,2022-01-18,auto,m,21,2022,Tuesday,January
29,hc-2022-0251727,2022-05-15,auto,f,22,2022,Sunday,May
30,lc-2019-0595768,2019-09-23,auto,m,22,2019,Monday,September
31,lc-2022-0089049,2022-02-05,auto,f,23,2022,Saturday,February
32,lc-2024-0105631,2024-02-25,auto,f,23,2024,Sunday,February
33,lc-2022-0375454,2022-07-21,auto,f,23,2022,Thursday,July
34,lc-2021-0123309,2021-03-18,auto,f,23,2021,Thursday,March
35,lc-2023-0341137,2023-06-16,auto,m,23,2023,Friday,June
36,lc-2019-0265076,2019-04-29,auto,m,23,2019,Monday,April
37,lc-2023-0721541,2023-12-15,auto,f,24,2023,Friday,December
38,lc-2024-0089942,2024-02-18,auto,f,24,2024,Sunday,February
39,lc-2022-0209661,2022-04-24,auto,f,24,2022,Sunday,April
40,lc-2021-0123309,2021-03-18,auto,f,24,2021,Thursday,March
